area,area_code,year,obesity,employment_rate,no_adults_in_employment,white,air_emission,median_income,house_price
City of London 001,E02000001,2011,23.21428571,73.58490566,0.9,78.6305085,153.4739024,46.788,465
Barking and Dagenham 001,E02000002,2011,24.01574803,54.56422018,11.8,64.9889299,83.76669369,27.059,185
Barking and Dagenham 002,E02000003,2011,23.96166134,60.76374318,7,54.6142359,88.74037897,36.835,200
Barking and Dagenham 003,E02000004,2011,21.01449275,61.9873817,5.3,80.9770301,81.14405095,39.668,193.75
Barking and Dagenham 004,E02000005,2011,24.24242424,58.28417327,9.6,66.2695632,88.44669902,29.156,165
Barking and Dagenham 006,E02000006,2011,25.67567568,55.38275706,10.5,62.1053711,89.68857715,25.569,153.75
Barking and Dagenham 007,E02000007,2011,27.31591449,54.3980683,12.7,67.1823456,86.46905966,26.75,160
Barking and Dagenham 008,E02000008,2011,29.88505747,55.23652922,11,69.6430115,89.83158927,27.347,171
Barking and Dagenham 009,E02000009,2011,25.07042254,55.92735833,10.6,61.1792734,90.88749677,27.077,157.5
Barking and Dagenham 010,E02000010,2011,25.10638298,56.03566529,12.7,69.2048752,86.82645082,33.153,184
Barking and Dagenham 011,E02000011,2011,25.40106952,60.20128088,7.6,66.3649588,83.80531288,42.624,250
Barking and Dagenham 012,E02000012,2011,23.44632768,57.84637473,5.3,43.8915858,93.32958392,27.213,156.25
Barking and Dagenham 013,E02000013,2011,24.78386167,56.26224835,10.7,68.9121638,88.88465193,26.796,159
Barking and Dagenham 014,E02000014,2011,26.82926829,56.61111976,11,70.4850032,89.90232019,24.591,140
Barking and Dagenham 015,E02000015,2011,23.98648649,53.05336159,11.5,63.2817665,84.84246399,26.823,152.975
Barking and Dagenham 016,E02000016,2011,24.73498233,53.28519856,10,29.5857217,104.9993605,34.435,225
Barking and Dagenham 017,E02000017,2011,26.55826558,54.87203942,6.4,31.2661803,94.12825622,26.613,155.5
Barking and Dagenham 018,E02000018,2011,27.13864307,54.69271877,12.8,64.1394826,93.99472841,29.593,155
Barking and Dagenham 019,E02000019,2011,26.53562654,58.41022001,10.3,63.8835186,96.91232722,27.819,171
Barking and Dagenham 020,E02000020,2011,33.22033898,54.35578914,9.4,46.356188,90.05600167,28.518,152
Barking and Dagenham 021,E02000021,2011,29.62962963,58.41052242,9.9,57.5404858,90.35490385,22.151,135
Barking and Dagenham 022,E02000022,2011,27.30496454,49.77919096,17.1,38.224906,104.4626441,24.258,167.25
Barking and Dagenham 023,E02000023,2011,24.70588235,53.01632363,15.2,45.1712434,94.43591281,27.616,195
Barnet 001,E02000024,2011,12.5,68.14461119,2.1,83.398976,82.15838469,44.293,370
Barnet 002,E02000025,2011,24.56140351,65.93461861,4.3,78.7330317,81.72566312,32.507,262.5
Barnet 003,E02000026,2011,18.49710983,64.22657952,3.6,78.5838745,82.97700814,39.295,351.998
Barnet 004,E02000027,2011,18.94736842,58.3126188,7.1,69.6707647,82.45709831,27.381,279.95
Barnet 005,E02000028,2011,16.10738255,67.81938326,4.7,74.8621473,87.70981254,39.306,330
Barnet 006,E02000029,2011,23.04347826,65.66827697,5.9,74.9794529,87.02637509,31.213,263.825
Barnet 007,E02000030,2011,21.73913043,62.62158407,3.8,75.0273823,83.88706869,46.651,609
Barnet 008,E02000031,2011,19.8757764,65.64989314,2.6,71.5793803,89.07879936,42.831,410.5
Barnet 009,E02000032,2011,13.62126246,64.67391304,2.4,67.710322,88.47675448,41.515,398.5
Barnet 010,E02000033,2011,19.77186312,63.66283773,5.9,69.0172192,91.17544084,29.483,308.41
Barnet 011,E02000034,2011,18.75,64.75409836,5.1,70.7216737,90.0261897,32.409,243.625
Barnet 012,E02000035,2011,18.98734177,65.98639456,4.1,63.9296924,87.96254428,35.703,330
Barnet 013,E02000036,2011,23.49206349,63.07530001,5,57.963325,100.077729,31.167,282
Barnet 014,E02000037,2011,14.55108359,63.16262354,5.6,63.4945078,89.09857168,36.675,320
Barnet 015,E02000038,2011,18.22033898,65.31909484,4.9,65.4650942,96.27953865,33.581,317.5
